Schlusskurse an den Handelstagen der letzten 12 Monate (XETRA);;;;;
;;;;;
;Daimler;Deutsche Bank;Fresenius Medical Care;RWE;Solarworld
19.04.2010;36,305;49,65;41,625;66,64;11,105
20.04.2010;39;50,73;42,01;67,17;11,35
21.04.2010;38,45;50,35;41,95;66,49;11,5
22.04.2010;37,85;49,11;41,855;66,14;11,435
23.04.2010;38,87;48,94;42,04;62,64;11,5
26.04.2010;39,47;50,37;41,975;62,24;11,5
27.04.2010;37,93;47,86;41,61;61,04;11,13
28.04.2010;37,765;47,54;41,2;60,91;10,63
29.04.2010;38,795;48,63;41;61,01;11,195
30.04.2010;38,815;47,56;40,72;61,86;10,885
03.05.2010;38,615;47,7;41,09;62,6;10,805
04.05.2010;37,37;45,94;40,935;61,89;10,205
05.05.2010;37,02;45,299;39,75;61,29;10,05
06.05.2010;36,93;43,384;40,06;60,24;9,796
07.05.2010;35,85;41,682;38,86;58,17;9,55
10.05.2010;38,01;47,042;38,95;59,58;9,797
11.05.2010;38,655;46,478;38,53;59,75;9,08
12.05.2010;39,79;46,997;38,86;61,25;9,631
13.05.2010;41,37;46,287;40,04;61,21;9,742
14.05.2010;40,575;44,367;39,72;59,58;9,29
17.05.2010;41,085;44,708;39,63;59,37;9,091
18.05.2010;41,915;45,359;39,925;60,25;9,063
19.05.2010;40,2;44,048;39,625;59,2;8,68
20.05.2010;38,4;43,67;39,51;58,52;8,143
21.05.2010;38,83;43,675;38,205;57,6;8,329
24.05.2010;38,485;43,256;38,8;57,31;8,153
25.05.2010;37,19;42,401;38,89;56,54;7,951
26.05.2010;38,24;42,96;39,33;56,8;8,386
27.05.2010;39,935;44,931;40,13;58,35;8,499
28.05.2010;40,3;44,116;40,655;58,76;8,588
31.05.2010;41;44,043;41,115;58,34;8,605
01.06.2010;40,99;43,807;41,5;58,62;8,5
02.06.2010;40,775;43,557;41,755;58,57;8,42
03.06.2010;41,26;44,071;42,94;59,06;8,559
04.06.2010;40,38;42,801;42,96;58,27;8,404
07.06.2010;40,08;42,228;43,025;57,96;8,27
08.06.2010;40,24;42,037;43,12;56,26;8,195
09.06.2010;41,94;42,938;44,2;56,45;8,396
10.06.2010;43,255;43,206;44,56;56,6;8,908
11.06.2010;42,735;43,698;44,065;56,19;9,879
14.06.2010;42,52;44,185;43,63;56,89;10,06
15.06.2010;42,33;45,086;44,32;57,29;9,946
16.06.2010;41,14;45,436;44,39;57,22;10,095
17.06.2010;42,315;45,814;44,6;56,9;9,955
18.06.2010;43,12;45,895;44,165;57,1;9,907
21.06.2010;44,5;45,814;43,965;57,8;10,75
22.06.2010;44,47;45,227;44,15;57,15;10,345
23.06.2010;43,95;44,394;43,58;56,36;10,165
24.06.2010;43,425;43,393;43,885;55,44;10,025
25.06.2010;42,015;42,865;44,1;55,15;10,02
28.06.2010;43,24;43,689;44,71;55,08;9,795
29.06.2010;41,28;41,864;44,285;53,32;9,344
30.06.2010;41,92;42,501;44,325;53,72;9,16
01.07.2010;40,42;40,954;43,85;53,25;9,284
02.07.2010;40,28;41,004;42,95;53,35;9,82
05.07.2010;39,95;40,84;42,425;53,35;9,81
06.07.2010;41,21;41,636;42,84;54,38;10,44
07.07.2010;41,945;43,197;42,53;54,8;10,735
08.07.2010;41,58;44,608;42,28;55,08;11,26
09.07.2010;41,635;44,822;42,225;54,92;11,25
12.07.2010;41,565;44,594;42,615;54,95;11,225
13.07.2010;43,805;45,85;42,7;55,39;11,14
14.07.2010;43,545;45,905;43,06;55,06;11,195
15.07.2010;43,275;44,744;42,72;54,69;11,35
16.07.2010;43,05;43,379;42,315;52,33;11,35
19.07.2010;42,63;42,778;42,315;52,37;11,16
20.07.2010;41,42;43,083;41,56;52,4;11
21.07.2010;40,955;43,434;41,3;52,64;11,11
22.07.2010;42,26;45,222;41,41;53,85;11,49
23.07.2010;42,485;45,277;41,125;53,5;11,67
26.07.2010;43,155;45,85;41,15;53,67;11,735
27.07.2010;41,34;47,907;43,15;54,51;11,745
28.07.2010;41,465;48,462;43,125;54,66;11,485
29.07.2010;41,435;48,553;42,2;54,52;10,75
30.07.2010;41,375;48,78;42,105;54,19;10,415
02.08.2010;41,4;50,146;42,12;55,75;10,645
03.08.2010;42;50,919;42,42;55,78;10,74
04.08.2010;41,68;50,828;43,275;56,17;10,8
05.08.2010;42,125;50,983;42,96;55,79;10,535
06.08.2010;40,965;50,601;43;55,26;10,39
09.08.2010;41,97;51,101;43,085;55,99;10,495
10.08.2010;41,225;50,309;42,91;55,5;10,15
11.08.2010;40,19;48,826;42,78;54,19;9,671
12.08.2010;39,07;48,243;43,395;53,63;9,92
13.08.2010;39,145;48,143;43,74;53,22;9,82
16.08.2010;39,955;47,352;44,33;52,8;9,602
17.08.2010;41,05;48,289;44,775;54,08;9,819
18.08.2010;40,625;47,825;44,885;54,3;9,71
19.08.2010;39,88;46,587;44,57;53,7;9,518
20.08.2010;39,23;46,269;44,415;53,38;9,359
23.08.2010;39,15;46,651;44,64;53,43;9,354
24.08.2010;38,66;45,905;44,8;52,91;9,055
25.08.2010;38,295;45,29;45,405;52,26;8,89
26.08.2010;38,085;45,513;44,885;52,01;9,037
27.08.2010;38,405;45,632;44,74;52,41;9,019
30.08.2010;38,125;45,186;44,865;52,07;9,073
31.08.2010;38,36;45,122;44,68;51,68;8,974
01.09.2010;40,455;46,396;44,955;52,29;9,294
02.09.2010;41;44,903;44,045;52,57;9,354
03.09.2010;41,655;45,513;43,525;53,23;9,45
06.09.2010;41,25;45,65;44,115;54,21;9,512
07.09.2010;41,355;44,89;44,17;53,85;9,353
08.09.2010;42;44,603;44,505;54,24;9,28
09.09.2010;43,08;45,522;44,1;53,85;9,296
10.09.2010;43,78;43,411;44,16;53,46;9,06
13.09.2010;43,665;44,148;44,37;53,53;9,066
14.09.2010;44,15;44,799;44,29;52,55;9,07
15.09.2010;44,12;44,112;44;52,45;9,071
16.09.2010;44,055;42,81;43,99;52,14;9,147
17.09.2010;44,475;42,037;43,83;51;9,004
20.09.2010;45,5;42,665;44,05;51,1;9,066
21.09.2010;45,635;40,726;44,465;51,22;9,031
22.09.2010;44,85;41,015;44,195;50,68;8,887
23.09.2010;44,345;41,09;44,16;50,28;8,78
24.09.2010;46,13;41,1;44,515;50,4;8,78
27.09.2010;46,41;41,15;44,55;50,22;8,735
28.09.2010;46,23;40,25;45,47;50,16;8,784
29.09.2010;46,275;39,26;45,51;49,825;8,698
30.09.2010;46,46;40,145;45,305;49,55;9,2
01.10.2010;45,515;39,8;45,79;49,555;9,197
04.10.2010;43,785;39,575;45,33;49,24;9,101
05.10.2010;44,69;40,545;44,955;49,14;9,16
06.10.2010;44,24;41,15;44,355;49,135;9,34
07.10.2010;45,37;40,985;44,465;49,39;9,454
08.10.2010;45,435;40,65;45,135;48,8;9,375
11.10.2010;45,925;40,44;44,975;49,025;9,469
12.10.2010;47,425;40,065;45,1;48;9,361
13.10.2010;47,935;41,65;45,15;48,575;9,613
14.10.2010;47,4;41,31;45,385;49,025;10,145
15.10.2010;47,725;40,8;45,45;49,61;10,07
18.10.2010;47,775;41,45;45,545;50,25;10,055
19.10.2010;47,04;42,2;45,48;50,16;9,935
20.10.2010;47,8;42,365;45,08;50,15;9,974
21.10.2010;49,03;42,165;44,835;50,54;9,878
22.10.2010;49,305;42,095;45,29;50,33;9,876
25.10.2010;49,7;41,86;45,1;50,41;10,155
26.10.2010;48,74;41,19;45,35;50,47;10,26
27.10.2010;47,62;41,585;45,505;50,75;10,425
28.10.2010;46,98;41,585;45,68;51,2;10,725
29.10.2010;47,43;41,42;45,77;51,5;10,42
01.11.2010;47,655;40,98;45,65;51,22;10,15
02.11.2010;48,41;41,07;45,27;51,49;10,15
03.11.2010;48,34;40,46;44,96;51,1;9,96
04.11.2010;50;41,385;43,82;51,51;10
05.11.2010;48,94;41,725;43,735;51,29;9,838
08.11.2010;48,935;41,845;43,995;50,62;9,775
09.11.2010;50,04;41,91;43,74;50,44;10
10.11.2010;49,175;40,96;44,79;51;9,578
11.11.2010;49,56;40,32;44,515;50,25;8,9
12.11.2010;49,88;40,42;44,565;49,9;8,648
15.11.2010;50,89;40,75;44,45;49,8;8,483
16.11.2010;49,47;40,15;44,2;49,35;8,197
17.11.2010;49,27;40,62;43,8;49,525;8,169
18.11.2010;50,81;41,095;44,41;50,07;8,489
19.11.2010;50,74;40,43;44,14;49,78;8,377
22.11.2010;50,56;39,865;43,45;49,56;8,18
23.11.2010;49,515;38,945;43,325;48,68;8,071
24.11.2010;52,04;38,905;43,945;48,79;8,025
25.11.2010;51,93;38,915;44,335;49,035;8,1
26.11.2010;51,54;38,27;44,905;48,9;8,059
29.11.2010;49,79;37,12;44,13;48,09;7,558
30.11.2010;49,87;36,595;44,47;47,96;7,004
01.12.2010;51,94;37,67;45,375;48,68;7,099
02.12.2010;53,49;38,72;45,78;48,69;7,132
03.12.2010;53,95;38,89;45,115;48,56;7,353
06.12.2010;53,62;38,275;44,845;48,285;7,313
07.12.2010;54,15;38,19;44,415;48,4;7,383
08.12.2010;53,26;38,56;44,52;48,475;7,45
09.12.2010;53,3;39,4;44,38;49,415;7,957
10.12.2010;54,87;39,795;44,325;49,37;8,021
13.12.2010;54,76;40,06;44,12;49,73;8,061
14.12.2010;54,11;40,165;44,3;50,01;7,875
15.12.2010;53,9;39,485;43,895;49,47;7,47
16.12.2010;54,41;39,695;43,56;49,59;7,28
17.12.2010;53,68;39,8;43,06;49,01;7,119
20.12.2010;53,88;39,42;43,01;49,4;7,3
21.12.2010;54,66;39,63;43,39;49,62;7,53
22.12.2010;54,33;39,42;43,285;49,8;7,561
23.12.2010;54,07;39,53;43,51;49,815;7,565
27.12.2010;51,57;39,265;43,565;49,6;7,4
28.12.2010;51,5;39,435;43,65;49,975;7,344
29.12.2010;51,32;39,435;43,45;50,15;7,365
30.12.2010;50,73;39,1;43,23;49,89;7,465
03.01.2011;51,71;39,56;43,035;50,4;7,47
04.01.2011;51,99;40,5;42,855;50,98;7,45
05.01.2011;53,6;41,56;42,575;51,47;7,336
06.01.2011;54,6;41,68;43,505;51,42;7,4
07.01.2011;54,53;41,01;43,44;50,96;7,29
10.01.2011;53,91;40,29;43,12;50,27;7,04
11.01.2011;54,97;40,485;42,86;50,56;7,16
12.01.2011;54,88;42,24;43,26;51,87;7,304
13.01.2011;54,97;42,85;43,01;52,98;7,23
14.01.2011;55,95;43,26;42,81;53,27;7,235
17.01.2011;56,89;42,965;42,475;52,96;7,25
18.01.2011;58,46;43,49;42,045;53,69;7,82
19.01.2011;57,08;43,5;41,905;53,33;7,838
20.01.2011;55,37;43,54;41,905;54,88;7,676
21.01.2011;54,78;44,275;41,125;55,26;7,922
24.01.2011;54,52;44,33;41,105;54,74;7,792
25.01.2011;55,21;43,635;42,085;53,66;7,844
26.01.2011;56,27;43,275;42,06;53,01;7,8
27.01.2011;55,9;43,6;42,345;53,01;7,651
28.01.2011;54,8;43,63;42,8;52,64;7,376
31.01.2011;53,42;43,17;42,735;52,61;7,207
01.02.2011;53,3;43,88;43,43;53,55;7,471
02.02.2011;52,5;44,42;43,9;53,68;7,613
03.02.2011;53,01;45,1;44,375;53,73;7,643
04.02.2011;52,69;46,235;44,645;53,43;7,82
07.02.2011;53,62;46,82;44,785;53,4;8,34
08.02.2011;55,28;47,055;44,9;53,09;8,56
09.02.2011;55,03;46,83;45,54;53,2;8,444
10.02.2011;55,48;46,01;46,25;53,5;8,274
11.02.2011;56,51;46,17;45,9;53,47;8,332
14.02.2011;56,57;45,77;46,785;53,15;8,726
15.02.2011;55,98;46,9;47,775;52,86;8,789
16.02.2011;53,54;48,54;47,48;52,05;8,988
17.02.2011;52,97;47,855;47,66;52,22;9,071
18.02.2011;52,63;47,93;47,225;52,56;9,5
21.02.2011;52,22;46,39;47,02;52,25;8,93
22.02.2011;53,05;46,515;47,475;52,5;9,15
23.02.2011;51,29;46,09;47,15;52,09;8,91
24.02.2011;50,49;45,82;47,305;49,39;8,852
25.02.2011;51,07;46,585;47,7;49,22;8,904
28.02.2011;51,05;46,58;47,975;48,91;8,71
01.03.2011;51,02;45,815;48,32;48,24;8,55
02.03.2011;49,6;45,95;48,665;47,99;8,268
03.03.2011;49,18;45,87;48,715;48,14;8,415
04.03.2011;48,235;44,885;49,46;47,81;8,389
07.03.2011;48,595;44,54;49,175;47,62;8,307
08.03.2011;49,25;44,6;48,83;47,78;8,452
09.03.2011;49,82;43,715;49,28;47,51;8,365
10.03.2011;48,705;43,265;48,84;47,67;7,939
11.03.2011;47,79;42,73;48,46;47,925;7,636
14.03.2011;47,175;42,625;48,24;45,64;8,629
15.03.2011;45,28;41,025;46,45;43,995;10,635
16.03.2011;44,375;40,2;46,5;42,855;10,275
17.03.2011;44,875;40,78;46,23;43,76;10,56
18.03.2011;45,9;40,41;45,665;43,5;10,06
21.03.2011;46,86;41,19;45,82;43,82;10,385
22.03.2011;46,465;41,125;46,515;43,73;9,894
23.03.2011;47,35;40,91;46,9;43,91;10,3
24.03.2011;49,015;41,565;47,645;44,36;10,3
25.03.2011;48,995;41,37;47,79;44,69;10,335
28.03.2011;48,27;41,625;47,57;44,71;11,2
29.03.2011;48,35;41,445;47,4;44,475;11,32
30.03.2011;49,835;41,945;47,72;45,235;11,21
31.03.2011;49,85;41,485;47,39;44,945;11,5
01.04.2011;51,59;42,75;48,225;45,665;11,39
04.04.2011;51,56;42,175;48,79;46,29;11,43
05.04.2011;52,42;41,9;49,2;46,35;11,5
06.04.2011;52,6;41,93;49,055;46,615;11,95
07.04.2011;52,16;42,49;49,46;46,665;11,785
08.04.2011;52,04;42,92;49,4;47,095;11,805
11.04.2011;50,65;42,62;49,5;47,225;11,6
12.04.2011;50,47;42;48,805;46,75;11,135
13.04.2011;51,1;42,69;50;47,155;11,3
14.04.2011;49,79;41,595;49,89;46,655;11,03
15.04.2011;49,47;41,075;50,75;46,185;11,05
